Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса проживання,Телефон,Email
Шморгун,Орися,Володимирівна,female,1973-05-17,Астроном,селище Золоте,"вулиця Фруктова, буд. 8, Мерефа, 95661",025 719-23-58,ierchenkosolomiia@example.net
Баранець,Варвара,Романівна,female,1974-11-06,Актор,хутір Березівка,"площа Глухівський, буд. 4, Приморськ, 81549",085 428 52 79,iakivbatiuk@example.net
Базилевич,Марина,Юріївна,female,1976-04-12,Пілот,селище Гадяч,"провулок Вокзальний, буд. 8 кв. 268, Олександрія, 09081",+380 21 623 68 33,darynakonoplia@example.net
Тягнибок,Єва,Іванівна,female,1949-12-15,Реставратор,село Керч,"провулок Рішельєвська, буд. 2, Ізяслав, 32933",034 155 00 17,solomoniermolenko@example.com
Батіг,Кирило,Павлович,male,1984-01-09,Клавішник,село Вознесенівка,"площа Ракетна, буд. 7, Трускавець, 53868",+380 36 343-24-95,qandriienko@example.com
Ґерета,Франц,Олександрович,male,1994-11-05,Кіноактор,хутір Добромиль,"вулиця Космонавтів, буд. 2 кв. 7, Запоріжжя, 05317",+380 (57) 223-30-09,ada20@example.net
Чарниш,Камілла,Ігорівна,female,1978-04-29,Скульптор,місто Виноградів,"узвіз Лазурний 5-й, буд. 7, Лутугине, 23445",+380 (20) 509-07-14,makar12@example.com
Демʼянчук,Клавдія,Дмитрівна,female,2004-10-02,Електромонтажник,селище Радомишль,"вулиця Новобазарний, буд. 43 кв. 30, Полтава, 31308",+380 87 093-19-95,leontiizhurba@example.net
Вернигора,Гордій,Максимович,male,1989-04-16,Локсмайстер,селище Пирятин,"проспект Бісквітний, буд. 874 кв. 634, Залізне, 20093",+380 80 698-01-03,shevchenkopanteleimon@example.com
Їжак,Охрім,Олександрович,male,1940-07-28,Юрист,село Попасна,"набережна Суперфосфатна, буд. 84, Олександрія, 35200",111-28-69,anastasiia01@example.net
Колесниченко,Василь,Дмитрович,male,2002-07-29,Літературознавець,село Бунге,"сквер 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 16, Щолкіне, 25926",+380 06 405-58-76,xtsybulenko@example.org
Даньків,Демʼян,Іванович,male,1944-11-24,Фрілансер,місто Довжанськ,"проспект Гена Іоганна, буд. 3 кв. 7, Південне, 83082",+380 (29) 873-27-74,abaturynets@example.net
Корбут,Вікторія,Павлівна,female,1967-02-16,Фермер,місто Черкаси,"узвіз Лінія 55-та, буд. 6 кв. 3, Барвінкове, 11540",047 984 82 94,dzhusfrants@example.com
Архимович,Дарина,Вікторівна,female,1941-10-24,Ветеринар,хутір Могилів-Подільський,"набережна Старопортофранківська, буд. 5, Синельникове, 27533",+380 56 069-78-37,ustenkotrokhym@example.org
Яремків,Соломон,Дмитрович,male,1979-06-03,Графік,селище Тиврів,"шосе Лінійна, буд. 1, Южноукраїнськ, 45622",+380 82 928-25-27,zhukieva@example.org
Лукаш,Григорій,Ігорович,male,1991-09-15,Доцент,село Ромни,"сквер Чорноморський 5-й, буд. 9 кв. 131, Бобровиця, 28717",083 662 66 63,kolesnychenkonadiia@example.org
Фурс,Соломія,Владиславівна,female,1983-10-19,Драматург,селище Суходільськ,"узвіз Наявний 4-й, буд. 79 кв. 04, Ізюм, 37307",033 265-16-16,arkhypenkoorest@example.net
Тимчук,Ярослав,Артемович,male,2000-05-14,Математик,село Стрий,"парк Жасминна, буд. 26 кв. 72, Тернопіль, 66595",862-19-83,oleh47@example.com
Артюшенко,Ірена,Олексіївна,female,1976-01-09,Дантист,місто Галич,"сквер Неплія, буд. 889, Охтирка, 96335",062-23-96,ihnatiefymenko@example.net
Влох,Марія,Владиславівна,female,1984-04-22,Фізик,місто Великі Мости,"сквер Водопровідний 1-й, буд. 11, Авдіївка, 74367",+380 (60) 964-95-20,alinarubets@example.net
Ребрик,Семен,Олександрович,male,1983-05-04,Літературознавець,місто Вашківці,"площа Кодимський, буд. 5 кв. 01, Новодністровськ, 47544",+380 68 668-02-05,olesisaievych@example.net
Гоголь-Яновська,Надія,Євгенівна,female,1971-11-11,Перекладач,місто Пологи,"площа Лінія 27-ма, буд. 757, Чистякове, 34515",+380 89 571-58-09,irena22@example.net
Парасюк,Надія,Романівна,female,1976-12-15,Єгер,село Верхівцеве,"шосе Віктора Скаржинського узвіз, буд. 763, Боково-Хрустальне, 77260",+380 (44) 366-84-49,makarenkoalbina@example.net
Жайворон,Вʼячеслав,Дмитрович,male,1994-02-25,Намотувальник,місто Снігурівка,"узвіз Полтавська, буд. 47 кв. 29, Білопілля, 44883",898-29-13,iaroslav14@example.net
Цимбалюк,Олег,Дмитрович,male,1999-06-13,Фізик,хутір Бурштин,"сквер Траса Здоров'я, буд. 210, Іллінці, 14757",+380 82 726-65-99,vbaklan@example.org
Бабійчук,Федір,Олексійович,male,1956-10-14,Менеджер,село Фастів,"парк Сухолиманна, буд. 62 кв. 1, Овруч, 21630",079 584 05 86,jdzhus@example.org
Тесля,Теодор,Васильович,male,1960-01-13,Слідчий,хутір Сокологірськ,"узвіз Тиха, буд. 493, Хотин, 46387",+380 (64) 718-30-61,iurchyshynzlatoslava@example.org
Черненко,Маруся,Дмитрівна,female,2001-09-08,Бухгалтер,село Хотин,"узвіз Яші Гордієнка, буд. 1, Тараща, 41651",+380 05 216 36 09,fisaienko@example.net
Рябченко,Тарас,Владиславович,male,1959-02-19,Фармацевт,місто Снігурівка,"вулиця Радісний, буд. 999 кв. 40, Ромни, 84977",125-69-70,heorhiiudovenko@example.com
Удовенко,Володимира,Сергіївна,female,1949-06-08,Парфюмер,село Городня,"шосе Лінія 48-ма, буд. 593, Бучач, 29196",+380 43 124-14-47,eshukhevych@example.com
Юрченко,Артем,Андрійович,male,1954-02-09,Пекар,село Лиман,"проспект 14-та ст. Великого Фонтану пляж, буд. 5 кв. 86, Копичинці, 97011",048 078-23-59,bohuslavalubenets@example.net
Бандера,Соломія,Василівна,female,1998-03-03,Лікар,місто Бершадь,"проспект Радіальний, буд. 69 кв. 0, Камінь-Каширський, 51388",+380 (79) 377-02-41,udovenkonataliia@example.org
Рак,Юстим,Миколайович,male,1947-09-11,Психолог,селище Чугуїв,"набережна Нечипуренка, буд. 0 кв. 91, Вінниця, 77213",+380 74 031-44-87,priska83@example.com
Пʼятаченко,Тереза,Василівна,female,2006-08-16,Співак,село Олешки,"набережна Дорбуду, буд. 8 кв. 11, Марганець, 59486",074 068-71-74,edyta88@example.org
Чарниш,Аліна,Дмитрівна,female,1948-08-24,Гірник,хутір Українськ,"сквер Волова, буд. 4, Фастів, 11461",+380 (46) 224-74-19,seibozhenko@example.net
Штокало,Федір,Володимирович,male,1940-01-10,Археолог,селище Павлоград,"парк Панаса Мирного, буд. 40 кв. 82, Заліщики, 70210",+380 66 357 58 65,iefymenkoveniiamyn@example.net
Онуфрієнко,Віолетта,Петрівна,female,1980-06-14,Художник,село Шаргород,"сквер Суднобудівна, буд. 637 кв. 383, Гірник, 84804",605 82 25,volodymyriakymchuk@example.com
Забарна,Оксана,Андріївна,female,1977-12-10,Економіст,хутір Помічна,"провулок 8-ма Лінія Дачі Ковалевського, буд. 178, Таврійськ, 92164",+380 34 443-05-90,tkorolenko@example.net
Гайдабура,Хома,Ігорович,male,1997-09-24,Дипломат,село Коломия,"шосе Дачна, буд. 819 кв. 20, Красилів, 37399",+380 89 844 03 23,dupliiavrelii@example.com
Влох,Валентина,Денисівна,female,1962-02-19,Продюсер,село Хоростків,"сквер Миколи Куліша, буд. 26, Кадіївка, 35098",+380 06 718 65 21,dannahavrylyshyn@example.net
Барабаш,Климент,Ігорович,male,1993-09-17,Промисловець,хутір Снігурівка,"парк Рибальська, буд. 4, Кодима, 96826",023 835 82 19,oleksa45@example.org
Ященко,Соломія,Олексіївна,female,1954-01-04,Електротехнік,село Моршин,"набережна Лютнева, буд. 635 кв. 4, Кілія, 66755",001-68-19,zynovii81@example.com
Лаба,Георгій,Юрійович,male,1945-10-30,Ювелір,хутір Кілія,"набережна Наклонна, буд. 95 кв. 802, Кагарлик, 76892",+380 85 605 55 61,demian77@example.org
Затула,Валентина,Артемівна,female,1985-10-07,Ювелір,село Ужгород,"проспект Байдарочний, буд. 50, Угнів, 17296",+380 29 291 47 18,babychparmen@example.org
Литвиненко,Варвара,Володимирівна,female,1990-05-26,Археолог,хутір Корюківка,"вулиця Алмазна, буд. 8, Українка, 57943",003 826-13-22,kopytkomarta@example.org
Євдокименко,Тереза,Петрівна,female,2002-12-29,Парфюмер,місто Федорівка,"узвіз Паркова, буд. 76, Олександрівськ, 83334",322-88-60,olhahrytsenko@example.com
Оберемко,Демʼян,Артемович,male,1947-09-16,Музичний редактор,село Білопілля,"набережна Бориса Літвака, буд. 72, Рава-Руська, 54576",+380 80 982-94-68,iaroslav80@example.org
Оніщук,Мирон,Іванович,male,1948-11-07,Золотар,місто Іршава,"шосе Керченська, буд. 12 кв. 463, Дрогобич, 83848",031 528-48-97,iurchukiustym@example.com
Данильчук,Панас,Денисович,male,1952-12-17,Секретар,хутір Новодружеськ,"парк Валіховський, буд. 4 кв. 168, Буринь, 28549",+380 27 555 17 56,iustynakaras@example.net
Балабан,Віолетта,Владиславівна,female,1988-03-30,Кіноактор,хутір Пирятин,"набережна Бондарна, буд. 384 кв. 6, Яремче, 32302",+380 04 109-82-87,ruslan37@example.com
Їжак,Владислав,Петрович,male,1954-08-18,Гицель,місто Березне,"вулиця Мелодійний, буд. 2, Скадовськ, 88270",+380 64 109-28-38,tetiana82@example.org
Яремчук,Семен,Максимович,male,2006-03-04,Дизайнер,селище Бершадь,"сквер Соляний 6-й, буд. 552 кв. 3, Южне, 48853",+380 39 663-60-59,khomafomenko@example.com
Адамчук,Софія,Павлівна,female,1954-09-26,Каскадер,хутір Самар,"проспект Манежна, буд. 39 кв. 188, Хорол, 84127",+380 59 636-62-05,kliashko@example.net
Базилевич,Розалія,Юріївна,female,1992-03-01,М'ясник,селище Дрогобич,"площа Студентський 4-й, буд. 75 кв. 5, Семенівка, 97038",925 31 97,artymovychvalentyna@example.org
Данчук,Ростислав,Дмитрович,male,1969-05-12,Правник,село Тараща,"шосе Куниці, буд. 3, Горлівка, 48826",+380 56 983 07 96,bohdanfomenko@example.net
Цибуленко,Михайло,Миколайович,male,1965-10-06,Астронавт,селище Новояворівськ,"шосе Сергія Шелухина, буд. 796 кв. 5, Южноукраїнськ, 14749",+380 (21) 150-54-92,amvrosiiadamenko@example.com
Верменич,Онисим,Олексійович,male,1997-09-07,Скульптор,село Красилів,"площа Центральний аеропорт, буд. 41, Роздільна, 68893",395-48-82,lsliusar@example.org
Христенко,Демид,Євгенович,male,2000-01-14,Астрофізик,місто Свалява,"вулиця Миколи Огренича, буд. 356, Новоград-Волинський, 01488",691-33-98,chumachenkoherman@example.org
Давимука,Галина,Владиславівна,female,1959-09-03,Палеонтолог,селище Чоп,"парк Василя Симоненка, буд. 3, Вознесенськ, 54697",+380 10 450 45 68,slysenko@example.org
Наливайко,Валерій,Дмитрович,male,1977-10-14,Кіноактор,хутір Хирів,"провулок Чернишевського, буд. 865 кв. 78, Турка, 98487",+380 87 411-82-50,olhaoliinyk@example.net
Захаренко,Христина,Максимівна,female,1970-10-31,Підприємець,село Батурин,"набережна Кодимський, буд. 9 кв. 110, Чорнобиль, 72245",067 351-84-89,danylenkotymofii@example.org
Захаренко,Пріска,Андріївна,female,1952-07-19,Астроном,селище Чуднів,"сквер Савранська, буд. 155, Покров, 77615",+380 (54) 934-53-09,arsenvitruk@example.com
Єрьоменко,Єва,Павлівна,female,1981-09-24,Ріелтор,хутір Дебальцеве,"парк Амбулаторна, буд. 0, Ладижин, 46091",145 02 47,qderehus@example.com
Зінкевич,Климент,Миколайович,male,2001-07-28,Ветеринар,хутір Олевськ,"вулиця Травневий, буд. 560, Львів, 58852",+380 46 632-67-63,opanas91@example.com
Жарко,Аарон,Артемович,male,1943-01-01,Дантист,місто Лутугине,"сквер Кримська, буд. 357, Нетішин, 30431",+380 (11) 324-89-50,rostyslavmasliak@example.com
Шеремета,Оксана,Романівна,female,1953-12-02,Графік,хутір Мелітополь,"парк Отамана Чепіги, буд. 64 кв. 7, Березне, 40648",096 548-99-03,romanaverchenko@example.com
Євтушенко,Анастасія,Сергіївна,female,1971-08-29,Фольклорист,хутір Бобровиця,"набережна Мечникова, буд. 674 кв. 0, Покров, 15965",+380 30 426-81-25,sudovenko@example.org
Колесниченко,Ганна,Вікторівна,female,1952-03-20,Редактор,хутір Коростишів,"набережна Героїв Зміїного, буд. 746, Вишневе, 05629",073 80 66,veniiamyn68@example.net
Комар,Олег,Романович,male,1942-02-24,Сантехнік,селище Святогірськ,"шосе Ламаний, буд. 4 кв. 94, Вилкове, 72742",+380 (49) 280-38-61,adam17@example.com
Конопля,Марта,Романівна,female,1991-10-24,Громадський діяч,селище П'ятихатки,"проспект Пересипський 2-й, буд. 713 кв. 3, Новоукраїнка, 40263",262-09-89,babarychenkodemian@example.org
Євтушок,Володимира,Петрівна,female,2007-08-11,Промисловець,село Ромни,"проспект 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 870 кв. 8, Багачеве, 40262",444-79-06,amykhaliuk@example.org
Дашенко,Гаврило,Артемович,male,1999-07-02,Детектив,місто Тульчин,"проспект Миколи Боровського, буд. 9 кв. 86, Сіверськ, 31212",062 470 46 59,lshelest@example.org
Балабан,Лесь,Юрійович,male,1948-05-31,Професор,місто Корсунь-Шевченківський,"провулок Василя Кандинського 1-й, буд. 790, Зборів, 93019",+380 (79) 737-32-87,uaronets@example.com
Охримович,Олена,Романівна,female,1948-09-21,М'ясник,хутір Новодружеськ,"набережна Ламаний, буд. 92 кв. 88, Пустомити, 48256",037 102 09 37,okhrimenkoanita@example.org
Базилевич,Демʼян,Владиславович,male,1985-11-12,Письменник,селище Світловодськ,"узвіз Скрипковий, буд. 95, Петрово-Красносілля, 70538",+380 36 688 23 06,omelianbazylevskyi@example.com
Лукаш,Лілія,Андріївна,female,1941-09-01,Випробувач,місто Чорноморськ,"проспект Люстдорфська дорога, буд. 851, Васильків, 79423",+380 59 783 08 90,rpylypenko@example.net
Баклан,Ярина,Денисівна,female,1988-06-12,Головний меркшейдер,селище Миргород,"провулок Аеропортівський 4-й, буд. 18 кв. 96, Новоселиця, 36781",+380 56 760-06-69,ykashchenko@example.net
Скоробогатько,Спас,Сергійович,male,1955-10-16,Живописець,хутір Гадяч,"парк Тираспольська, буд. 229 кв. 58, Монастириська, 82547",+380 88 562-49-05,venedykt42@example.com
Ільченко,Марія,Сергіївна,female,1966-09-02,Географ,село Новоселиця,"набережна Зоопаркова, буд. 9, Сіверськ, 37579",626 82 91,zvyshyvanyi@example.net
Дейнека,Софія,Артемівна,female,1970-04-27,Вчитель,місто Амвросіївка,"провулок Віктора Скаржинського узвіз, буд. 381 кв. 8, Вознесенськ, 75693",+380 19 098-47-07,rozaliiatalan@example.net
Алексюк,Тимофій,Юрійович,male,1970-10-14,Гінеколог,хутір Таврійськ,"провулок Глаубермана, буд. 5 кв. 506, Балаклія, 13275",969 55 69,qadamenko@example.org
Нестеренко,Кирило,Вікторович,male,1998-06-04,Кінокритик,село Кагарлик,"сквер Басейний 1-й, буд. 493 кв. 446, Ізмаїл, 53331",932-44-09,nbazavluchenko@example.net
Доценко,Арсен,Юрійович,male,2002-01-10,Футболіст,селище Вишгород,"шосе Молоді, буд. 38 кв. 145, Миколаїв, 13735",+380 24 062 34 25,sliusaroleksa@example.com
Ляшко,Оксана,Максимівна,female,2004-11-16,Журналіст,хутір Корюківка,"вулиця Художника Федорова, буд. 79 кв. 420, Нововолинськ, 74868",+380 (61) 069-61-50,martyn23@example.net
Артюшенко,Віра,Андріївна,female,1976-09-11,Водій,хутір Калинівка,"узвіз Князівська, буд. 203 кв. 01, Авдіївка, 50422",+380 00 852-36-57,zkarpa@example.org
Малик,Ярослава,Романівна,female,1951-05-30,Детектив,місто Чернігів,"вулиця Єврейська, буд. 046, Кипуче, 73296",010 749 69 85,havryshviktor@example.com
Чарниш,Мирон,Максимович,male,1997-06-11,Кіноактор,село Херсон,"узвіз Друга, буд. 4, Берегове, 43058",+380 65 294-09-78,frants61@example.com
Штокало,Мартин,Миколайович,male,1956-02-03,Композитор,селище Угнів,"набережна Кастуся Калиновського, буд. 951, Єнакієве, 48099",022 557 69 06,dfesenko@example.net
Терещук,Ірина,Ігорівна,female,1969-09-19,Єгер,селище Богодухів,"площа Підйомний, буд. 773 кв. 6, Тлумач, 36968",036 876 26 72,iosyp23@example.org
Андріїшин,Роксолана,Ігорівна,female,1969-12-02,Географ,село Путивль,"парк Калинова, буд. 47 кв. 0, Долинська, 79075",+380 19 763-53-16,khrystycholeh@example.com
Авраменко,Юстим,Ігорович,male,1939-02-18,Фізик,селище Верхівцеве,"проспект Новопланівська, буд. 1 кв. 60, Носівка, 38791",+380 66 394-97-74,leopold84@example.org
Бабʼяк,Богодар,Павлович,male,1947-10-17,Геофізик,село Ровеньки,"вулиця Проектуєма, буд. 178, Маріуполь, 84736",+380 (31) 026-82-67,vonyshchenko@example.com
Бандера,Тарас,Миколайович,male,1997-11-12,Гінеколог,хутір Очаків,"проспект Деревообробний 5-й, буд. 8 кв. 0, Охтирка, 54147",253-92-29,tovstolisruslan@example.net
Токар,Борислав,Миколайович,male,1971-07-22,Бізнесмен,хутір Татарбунари,"узвіз Амбулаторна, буд. 6, Остер, 70077",+380 (35) 135-88-17,valentyna10@example.org
Оберемко,Едуард,Павлович,male,1980-01-14,Слідчий,хутір Таврійськ,"вулиця Кавказька, буд. 45 кв. 60, Вишневе, 76386",255 60 37,shapovalmariana@example.com
Верменич,Леонід,Дмитрович,male,1986-06-15,Бібліотекар,селище Старий Самбір,"вулиця Саймона Літмана, буд. 2 кв. 598, Рені, 55915",055 718-99-70,bohdandatsenko@example.org
Валенко,Юхим,Денисович,male,1997-04-07,Патологоанатом,хутір Камінь-Каширський,"шосе Тупиковий 1-й, буд. 51, Бобринець, 12844",+380 49 553-64-30,liubov78@example.org
Петлюра,Ірена,Павлівна,female,2000-08-28,Реставратор,хутір Ржищів,"парк Віри Інбер, буд. 2 кв. 1, Красноперекопськ, 60823",048 623-12-24,panaschuiko@example.net
Терещук,Василина,Василівна,female,2002-03-23,Астронавт,селище Лутугине,"сквер Садова 1-ша, буд. 45 кв. 19, Лисичанськ, 51233",+380 52 936-66-54,xshvedchenko@example.org
Ярема,Ростислав,Андрійович,male,1946-09-03,Диригент,селище Бережани,"провулок Чорничний, буд. 7, Рені, 30036",634 18 39,hennadii43@example.com
Шиян,Емілія,Олексіївна,female,1955-07-12,Громадський діяч,селище Сквира,"вулиця Лінія 55-та, буд. 87 кв. 8, Жовті Води, 46212",+380 77 240-67-28,ivanandreiko@example.net
Алексійчук,Юстим,Ігорович,male,1962-06-18,Вчитель,хутір Нетішин,"парк Сортувальна 1-ша, буд. 15 кв. 940, Бердичів, 62582",+380 (91) 901-74-27,vadym91@example.net
Теличенко,Нестор,Ігорович,male,1966-02-02,Штукатур,хутір Ірміно,"вулиця Лиманчик 2-й Лінія 2-га, буд. 3, Світловодськ, 50499",969 16 70,izhakevychherman@example.net
Чміль,Іван,Миколайович,male,1965-01-04,Юрист,селище Барвінкове,"провулок Ключовий 1-й, буд. 40, Дрогобич, 20845",+380 (11) 999-17-03,chervonenkoiefrem@example.org
Затовканюк,Богдан,Дмитрович,male,1979-03-20,Графік,місто Макіївка,"узвіз Заводська, буд. 4 кв. 5, Лутугине, 73686",+380 (58) 053-49-69,klavdiia98@example.com
Лазаренко,Антон,Миколайович,male,1992-01-04,Гінеколог,селище Старий Самбір,"шосе Верф’яний, буд. 267 кв. 8, Вишневе, 35089",+380 93 076-28-91,ashcherban@example.org
Лемешко,Ірена,Ігорівна,female,1997-08-09,Бухгалтер,хутір Белз,"узвіз Шота Руставелі, буд. 61, Роздільна, 34619",+380 51 378 99 10,rozaliiasahal@example.org
Бабійчук,Валерій,Олександрович,male,1979-05-30,Астроном,селище Новоукраїнка,"проспект Перший Кришталевий, буд. 9, Костопіль, 37019",071 447 07 85,solomonzhalilo@example.net
Вакуленко,Олесь,Андрійович,male,1964-12-04,Електрик,село Оріхів,"площа Дорбуду, буд. 5 кв. 73, Хрустальний, 92610",054 570-79-52,drozdpylyp@example.org
Чміль,Ірена,Миколаївна,female,1980-06-15,Швачка,селище Бучач,"вулиця Українська, буд. 0 кв. 86, Гайсин, 20036",011 028 96 94,ppavlychenko@example.com
Лукаш,Руслан,Павлович,male,1981-01-31,Шериф,хутір Ромни,"провулок Чубаївська, буд. 02, Тульчин, 82867",006 118 98 50,frantsskyrda@example.net
Оніщук,Аврелій,Денисович,male,2004-10-27,Програміст,місто Валки,"узвіз Чернігівська, буд. 1, Вінниця, 32526",+380 (13) 207-03-41,rubetsoleksa@example.org
Штокало,Орися,Павлівна,female,1976-12-26,Слідчий,селище Калуш,"площа Флотський 2-й, буд. 48 кв. 546, Глиняни, 89303",+380 00 634-33-19,rshcherban@example.net
Тарасенко,Михайло,Олексійович,male,1973-11-27,Футболіст,місто Мирноград,"сквер Буковинська, буд. 051, Люботин, 05636",099 661-31-12,omelianviter@example.com
Годунок,Тереза,Олександрівна,female,1972-10-02,Паблік рилейшнз,селище Виноградів,"набережна 10-та Лінія Марії Демченко, буд. 6, Горлівка, 70089",+380 04 276 88 41,solomiiadanylenko@example.com
Титаренко,Лесь,Дмитрович,male,1961-07-23,Актор,село Городенка,"вулиця Ольгіївський узвіз, буд. 6, Тернопіль, 77293",+380 35 543-82-39,ivanlutsenko@example.com
Бебешко,Лілія,Денисівна,female,1945-09-18,Бізнесмен,хутір Хорол,"шосе Отамана Чепіги, буд. 0 кв. 5, Тальне, 25456",+380 63 882 19 21,mykolai29@example.com
Голик,Ярина,Денисівна,female,1938-09-14,Електромонтажник,село Вилкове,"провулок Героїв Крут, буд. 76, Жовті Води, 37347",051 16 95,prokhir25@example.net
Забашта,Галина,Олексіївна,female,1999-12-14,Хімік,хутір Хутір-Михайлівський,"проспект Мирослава Скорика, буд. 9, Мукачево, 92606",+380 (07) 105-73-87,kskyba@example.net
Ватаманюк,Розалія,Олександрівна,female,1984-06-17,Державний службовець,місто Ржищів,"сквер Гранатний, буд. 06 кв. 78, Добромиль, 40581",+380 50 844-21-13,poliinyk@example.com
Твердохліб,Марія,Вікторівна,female,1969-08-02,Музичний редактор,місто Нова Каховка,"вулиця Локомотивний 1-й, буд. 9, Бахмут, 96572",060 60 23,stanislavorobets@example.net
Удовиченко,Тимофій,Вікторович,male,1961-11-10,Астронавт,місто Тальне,"вулиця Учительський, буд. 928, Українка, 14058",+380 (60) 745-75-57,orysia17@example.com
Канівець,Орхип,Сергійович,male,1942-08-09,Детектив,селище Дубляни,"сквер Український 2-й, буд. 3, Могилів-Подільський, 94137",+380 69 756-60-49,iakymenkoostap@example.net
Шеремет,Веніямин,Васильович,male,1970-03-10,Різноробочий,місто Подільськ,"узвіз Лиманчик 2-й Лінія 3-тя, буд. 04, Запоріжжя, 41424",038 107 02 80,ehutsuliak@example.net
Парасюк,Давид,Миколайович,male,1941-07-23,Паралегал,хутір Шумськ,"узвіз Агрономічний, буд. 253, Галич, 19437",+380 31 984 88 23,danyloiemets@example.org
Алексеєнко,Пармен,Романович,male,1989-11-18,Державний службовець,село Ужгород,"проспект Академічна, буд. 24, Вишневе, 26117",145-59-92,boryslavprotsenko@example.org
Канівець,Хома,Олексійович,male,1986-07-08,Золотар,хутір Пустомити,"парк Середньофонтанський, буд. 99, Батурин, 52098",+380 (19) 940-33-35,stanislav85@example.org
Панчук,Демʼян,Володимирович,male,1971-05-21,Громадський діяч,село Щастя,"сквер Івасюка Володимира, буд. 7, Докучаєвськ, 74151",+380 23 870-10-46,umanetsiaroslav@example.org
Кабаненко,Орхип,Євгенович,male,1967-12-07,Гірник,хутір Кобеляки,"проспект Дукова, буд. 03 кв. 5, Севастополь, 69319",094 312-55-50,demianenkohavrylo@example.net
Заруба,Спас,Артемович,male,1983-08-04,Сантехнік,селище Золотоноша,"сквер Вершинна, буд. 1, Тиврів, 63139",+380 05 866-95-37,ktsiutsiura@example.org
Лазаренко,Василь,Романович,male,1939-08-01,Геолог,хутір Кропивницький,"вулиця Хаджибейський, буд. 0 кв. 941, Калинівка, 78341",073 579-73-45,leon32@example.net
Гриценко,Вадим,Дмитрович,male,1994-01-18,Парфюмер,селище Новомиргород,"проспект Верстатобудівна, буд. 68, Гуляйполе, 15703",+380 68 144 23 82,omelian12@example.net
Девдюк,Прохір,Денисович,male,1955-04-12,Стиліст,хутір Залізне,"вулиця Сергія Коновалова, буд. 3, Шаргород, 49795",428-35-43,onysym21@example.net
Деревʼянко,Наталія,Владиславівна,female,1954-09-06,Євнух,селище Вугледар,"набережна Василя Кандинського 2-й, буд. 5, Карлівка, 66079",705 51 59,jkhmara@example.com
Каденюк,Аніта,Дмитрівна,female,2003-09-25,Фермер,місто Турка,"сквер Станційна 1-ша, буд. 993 кв. 33, Снігурівка, 15577",379-96-42,volodymyrkonoplia@example.com
Гаєвський,Юхим,Юрійович,male,1992-12-25,Зоолог,село Здолбунів,"вулиця Іванівська, буд. 68 кв. 5, Хмільник, 80782",+380 14 520 93 21,vanchenkomakar@example.com
Єресько,Пармен,Романович,male,1967-09-01,Актор,селище Токмак,"площа Балтський 2-й, буд. 9, Севастополь, 83348",811 94 50,artemenkoiryna@example.com
Швачко,Демид,Денисович,male,1976-09-05,Письменник,хутір Камінь-Каширський,"проспект Херсонський сквер, буд. 97, Калинівка, 23916",+380 22 465-79-87,kvatamaniuk@example.org
Кабаненко,Тарас,Павлович,male,1960-02-06,Патологоанатом,село Бердянськ,"вулиця Олександра Тимошенка, буд. 04 кв. 88, Армянськ, 90639",+380 94 453-20-65,chuikoliudmyla@example.com
Швайка,Геннадій,Петрович,male,1959-05-03,Клавішник,селище Новгород-Сіверський,"проспект Водопровідний 2-й, буд. 56 кв. 21, Новоукраїнка, 75494",004 776-19-14,hordiiieresko@example.org
Вертипорох,Юхим,Максимович,male,1973-04-07,Кухар,село Хрустальний,"узвіз Совіньйонівський, буд. 397 кв. 7, Бібрка, 49034",+380 56 060-86-18,iefremshukhevych@example.org
Оліфіренко,Віталій,Васильович,male,2005-11-24,Публіцист,хутір Миронівка,"узвіз Наявний 5-й, буд. 1, Новояворівськ, 80688",654 76 42,barabashnestor@example.com
Твердохліб,Опанас,Олександрович,male,1990-04-16,Композитор,місто Берислав,"шосе Приморський, буд. 31, Ромни, 62910",290 88 11,mykhailo97@example.org
Верменич,Спас,Павлович,male,1990-10-30,Журналіст,селище Радивилів,"проспект Лінія 31-ша, буд. 4, Іллінці, 50241",081 012-44-89,havrylohres@example.org
Парасюк,Йосип,Артемович,male,1988-12-29,Шериф,селище Південне,"проспект Дур'янівський, буд. 3, Тростянець, 27366",058-89-62,svitlana11@example.net
Гречко,Марія,Євгенівна,female,1940-07-27,Астронавт,селище Дніпрорудне,"площа Ігоря Ветрогонова, буд. 566, Павлоград, 75391",+380 12 366-41-85,fedirshablii@example.net
Карпенко,Марʼяна,Іванівна,female,1958-04-30,Диригент,село Шахтарське,"сквер 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 842 кв. 3, Герца, 29909",+380 11 717-19-02,gieshchenko@example.org
Баранець,Оксенія,Ігорівна,female,1973-01-30,Графік,село Решетилівка,"шосе Грузовий, буд. 7 кв. 7, Одеса, 41817",335-99-98,shapovalaaron@example.com
Токар,Ростислав,Романович,male,1980-08-08,Ветеринар,село Харцизьк,"проспект Миколи Пильчикова, буд. 79, Часів Яр, 83875",+380 48 303-65-74,daryna52@example.org
